scenario_name,test_name,mode_free_or_anchored,joint_name,joint_type,joint_max_delta_deg_or_mm,limit_hit
baseline_filled,shoulder_poke_right,free,bottom_sling_left_hinge,hinge_deg,0.050065,False
baseline_filled,shoulder_poke_right,free,bottom_sling_right_hinge,hinge_deg,0.058310,False
baseline_filled,shoulder_poke_right,free,bottom_sling_slide,slide_mm,0.395949,False
baseline_filled,shoulder_poke_right,free,fold_patch_left_hinge,hinge_deg,5.719643,False
baseline_filled,shoulder_poke_right,free,fold_patch_right_hinge,hinge_deg,5.846965,False
baseline_filled,shoulder_poke_right,free,front_face_00_hinge,hinge_deg,1.154329,False
baseline_filled,shoulder_poke_right,free,front_face_01_hinge,hinge_deg,0.958132,False
baseline_filled,shoulder_poke_right,free,front_face_02_hinge,hinge_deg,0.982220,False
baseline_filled,shoulder_poke_right,free,front_face_03_hinge,hinge_deg,1.227147,False
baseline_filled,shoulder_poke_right,free,lower_belly_00_hinge,hinge_deg,0.247871,False
baseline_filled,shoulder_poke_right,free,lower_belly_01_hinge,hinge_deg,0.248334,False
baseline_filled,shoulder_poke_right,free,lower_belly_02_hinge,hinge_deg,0.247766,False
baseline_filled,shoulder_poke_right,free,lower_belly_03_hinge,hinge_deg,0.246835,False
baseline_filled,shoulder_poke_right,free,lower_belly_04_hinge,hinge_deg,0.248206,False
baseline_filled,shoulder_poke_right,free,lower_belly_05_hinge,hinge_deg,0.246172,False
baseline_filled,shoulder_poke_right,free,payload_aux_x,slide_mm,0.061946,False
baseline_filled,shoulder_poke_right,free,payload_aux_y,slide_mm,0.032264,False
baseline_filled,shoulder_poke_right,free,payload_aux_z,slide_mm,0.229089,False
baseline_filled,shoulder_poke_right,free,payload_left_x,slide_mm,0.108734,False
baseline_filled,shoulder_poke_right,free,payload_left_y,slide_mm,0.160492,False
baseline_filled,shoulder_poke_right,free,payload_left_z,slide_mm,0.325704,False
baseline_filled,shoulder_poke_right,free,payload_main_x,slide_mm,0.016812,False
baseline_filled,shoulder_poke_right,free,payload_main_y,slide_mm,0.036395,False
baseline_filled,shoulder_poke_right,free,payload_main_z,slide_mm,0.376154,False
baseline_filled,shoulder_poke_right,free,payload_right_x,slide_mm,0.063335,False
baseline_filled,shoulder_poke_right,free,payload_right_y,slide_mm,0.067078,False
baseline_filled,shoulder_poke_right,free,payload_right_z,slide_mm,0.390823,False
baseline_filled,shoulder_poke_right,free,shoulder_left_00_hinge,hinge_deg,0.827267,False
baseline_filled,shoulder_poke_right,free,shoulder_left_01_hinge,hinge_deg,4.668659,False
baseline_filled,shoulder_poke_right,free,shoulder_left_02_hinge,hinge_deg,1.083371,False
baseline_filled,shoulder_poke_right,free,shoulder_left_03_hinge,hinge_deg,4.608288,False
baseline_filled,shoulder_poke_right,free,shoulder_left_04_hinge,hinge_deg,0.754579,False
baseline_filled,shoulder_poke_right,free,shoulder_right_00_hinge,hinge_deg,0.852866,False
baseline_filled,shoulder_poke_right,free,shoulder_right_01_hinge,hinge_deg,4.720159,False
baseline_filled,shoulder_poke_right,free,shoulder_right_02_hinge,hinge_deg,1.105276,False
baseline_filled,shoulder_poke_right,free,shoulder_right_03_hinge,hinge_deg,4.662487,False
baseline_filled,shoulder_poke_right,free,shoulder_right_04_hinge,hinge_deg,0.779636,False
baseline_filled,shoulder_poke_right,free,side_gusset_left_00_hinge,hinge_deg,0.465048,False
baseline_filled,shoulder_poke_right,free,side_gusset_left_01_hinge,hinge_deg,0.772001,False
baseline_filled,shoulder_poke_right,free,side_gusset_left_02_hinge,hinge_deg,0.511896,False
baseline_filled,shoulder_poke_right,free,side_gusset_right_00_hinge,hinge_deg,0.434674,False
baseline_filled,shoulder_poke_right,free,side_gusset_right_01_hinge,hinge_deg,0.740567,False
baseline_filled,shoulder_poke_right,free,side_gusset_right_02_hinge,hinge_deg,0.480980,False
baseline_filled,shoulder_poke_right,free,top_seam_00_hinge,hinge_deg,0.078125,False
baseline_filled,shoulder_poke_right,free,top_seam_01_hinge,hinge_deg,0.009899,False
baseline_filled,shoulder_poke_right,free,top_seam_02_hinge,hinge_deg,0.092683,False
baseline_filled,shoulder_poke_right,free,top_seam_03_hinge,hinge_deg,0.027253,False
baseline_filled,shoulder_poke_right,free,top_seam_04_hinge,hinge_deg,0.036102,False
baseline_filled,shoulder_poke_right,free,top_seam_05_hinge,hinge_deg,0.013079,False
baseline_filled,shoulder_poke_right,free,top_seam_06_hinge,hinge_deg,0.027688,False
baseline_filled,shoulder_poke_right,free,top_seam_07_hinge,hinge_deg,0.073830,False
baseline_filled,shoulder_poke_right,free,top_seam_08_hinge,hinge_deg,0.005552,False
baseline_filled,shoulder_poke_right,free,top_seam_09_hinge,hinge_deg,0.070719,False
baseline_filled,shoulder_poke_right,free,top_seam_10_hinge,hinge_deg,0.062502,False
baseline_filled,top_preload,free,back_face_00_hinge,hinge_deg,1.203192,False
baseline_filled,top_preload,free,back_face_01_hinge,hinge_deg,1.004032,False
baseline_filled,top_preload,free,back_face_02_hinge,hinge_deg,1.024803,False
baseline_filled,top_preload,free,back_face_03_hinge,hinge_deg,1.267585,False
baseline_filled,top_preload,free,bottom_sling_left_hinge,hinge_deg,0.039518,False
baseline_filled,top_preload,free,bottom_sling_right_hinge,hinge_deg,0.021106,False
baseline_filled,top_preload,free,bottom_sling_slide,slide_mm,0.559304,False
baseline_filled,top_preload,free,fold_patch_left_hinge,hinge_deg,15.245495,False
baseline_filled,top_preload,free,fold_patch_right_hinge,hinge_deg,12.541567,False
baseline_filled,top_preload,free,front_face_00_hinge,hinge_deg,1.176584,False
baseline_filled,top_preload,free,front_face_01_hinge,hinge_deg,0.977917,False
baseline_filled,top_preload,free,front_face_02_hinge,hinge_deg,0.998950,False
baseline_filled,top_preload,free,front_face_03_hinge,hinge_deg,1.240504,False
baseline_filled,top_preload,free,lower_belly_00_hinge,hinge_deg,0.006783,False
baseline_filled,top_preload,free,lower_belly_01_hinge,hinge_deg,0.007636,False
baseline_filled,top_preload,free,lower_belly_02_hinge,hinge_deg,0.007368,False
baseline_filled,top_preload,free,lower_belly_03_hinge,hinge_deg,0.007664,False
baseline_filled,top_preload,free,lower_belly_04_hinge,hinge_deg,0.007939,False
baseline_filled,top_preload,free,lower_belly_05_hinge,hinge_deg,0.007808,False
baseline_filled,top_preload,free,payload_aux_x,slide_mm,5.459616,False
baseline_filled,top_preload,free,payload_aux_y,slide_mm,0.042341,False
baseline_filled,top_preload,free,payload_aux_z,slide_mm,2.244357,False
baseline_filled,top_preload,free,payload_left_x,slide_mm,0.647850,False
baseline_filled,top_preload,free,payload_left_y,slide_mm,0.110081,False
baseline_filled,top_preload,free,payload_left_z,slide_mm,0.895557,False
baseline_filled,top_preload,free,payload_main_x,slide_mm,1.875977,False
baseline_filled,top_preload,free,payload_main_y,slide_mm,0.034532,False
baseline_filled,top_preload,free,payload_main_z,slide_mm,1.172550,False
baseline_filled,top_preload,free,payload_right_x,slide_mm,0.477942,False
baseline_filled,top_preload,free,payload_right_y,slide_mm,0.123196,False
baseline_filled,top_preload,free,payload_right_z,slide_mm,0.702411,False
baseline_filled,top_preload,free,shoulder_left_00_hinge,hinge_deg,0.811934,False
baseline_filled,top_preload,free,shoulder_left_01_hinge,hinge_deg,4.669195,False
baseline_filled,top_preload,free,shoulder_left_02_hinge,hinge_deg,1.067024,False
baseline_filled,top_preload,free,shoulder_left_03_hinge,hinge_deg,4.583706,False
baseline_filled,top_preload,free,shoulder_left_04_hinge,hinge_deg,0.747639,False
baseline_filled,top_preload,free,shoulder_right_00_hinge,hinge_deg,0.830949,False
baseline_filled,top_preload,free,shoulder_right_01_hinge,hinge_deg,4.727874,False
baseline_filled,top_preload,free,shoulder_right_02_hinge,hinge_deg,1.087382,False
baseline_filled,top_preload,free,shoulder_right_03_hinge,hinge_deg,4.644623,False
baseline_filled,top_preload,free,shoulder_right_04_hinge,hinge_deg,0.765828,False
baseline_filled,top_preload,free,side_gusset_left_00_hinge,hinge_deg,0.478348,False
baseline_filled,top_preload,free,side_gusset_left_01_hinge,hinge_deg,0.783177,False
baseline_filled,top_preload,free,side_gusset_left_02_hinge,hinge_deg,0.520368,False
baseline_filled,top_preload,free,side_gusset_right_00_hinge,hinge_deg,0.449349,False
