scenario_name,test_name,mode_free_or_anchored,joint_name,joint_type,joint_max_delta_deg_or_mm,limit_hit
underfilled,shoulder_poke_right,free,fold_patch_left_hinge,hinge_deg,1.621273,False
underfilled,shoulder_poke_right,free,fold_patch_right_hinge,hinge_deg,5.281447,False
underfilled,shoulder_poke_right,free,front_face_00_hinge,hinge_deg,2.568943,False
underfilled,shoulder_poke_right,free,front_face_01_hinge,hinge_deg,2.590577,False
underfilled,shoulder_poke_right,free,front_face_02_hinge,hinge_deg,2.527745,False
underfilled,shoulder_poke_right,free,front_face_03_hinge,hinge_deg,2.377260,False
underfilled,shoulder_poke_right,free,lower_belly_00_hinge,hinge_deg,2.123950,False
underfilled,shoulder_poke_right,free,lower_belly_01_hinge,hinge_deg,2.121578,False
underfilled,shoulder_poke_right,free,lower_belly_02_hinge,hinge_deg,2.049525,False
underfilled,shoulder_poke_right,free,lower_belly_03_hinge,hinge_deg,2.043716,False
underfilled,shoulder_poke_right,free,lower_belly_04_hinge,hinge_deg,2.129005,False
underfilled,shoulder_poke_right,free,lower_belly_05_hinge,hinge_deg,2.123910,False
underfilled,shoulder_poke_right,free,payload_aux_x,slide_mm,0.252760,False
underfilled,shoulder_poke_right,free,payload_aux_y,slide_mm,0.136526,False
underfilled,shoulder_poke_right,free,payload_aux_z,slide_mm,1.002142,False
underfilled,shoulder_poke_right,free,payload_left_x,slide_mm,0.538465,False
underfilled,shoulder_poke_right,free,payload_left_y,slide_mm,0.341392,False
underfilled,shoulder_poke_right,free,payload_left_z,slide_mm,0.732859,False
underfilled,shoulder_poke_right,free,payload_main_x,slide_mm,0.213832,False
underfilled,shoulder_poke_right,free,payload_main_y,slide_mm,0.630496,False
underfilled,shoulder_poke_right,free,payload_main_z,slide_mm,0.724489,False
underfilled,shoulder_poke_right,free,payload_right_x,slide_mm,0.369091,False
underfilled,shoulder_poke_right,free,payload_right_y,slide_mm,0.727718,False
underfilled,shoulder_poke_right,free,payload_right_z,slide_mm,0.617972,False
underfilled,shoulder_poke_right,free,shoulder_left_00_hinge,hinge_deg,6.039757,False
underfilled,shoulder_poke_right,free,shoulder_left_01_hinge,hinge_deg,3.506039,False
underfilled,shoulder_poke_right,free,shoulder_left_02_hinge,hinge_deg,1.185865,False
