phase,time_s,upper_half_width,lower_half_width,shoulder_angle_mean_deg,shoulder_angle_local_deg,belly_angle_mean_deg,bottom_sag_m,payload_slide_x_m,payload_slide_y_m,payload_slide_z_m,payload_world_z_m,bag_com_x_m,bag_com_y_m,bag_com_z_m,gripper_bag_contact_count,scoop_bag_contact_count,shape_change_score,support_margin_proxy
observe,0.34900000000000025,0.18809845468720895,0.23423157124617774,0.6320657695064512,-0.6151197136338336,0.6781308910972355,-0.011326652075436336,0.00027033728224634153,0.00033500860388158723,-0.006371367183384508,0.08914325603699828,-0.027956366906076485,-0.03401843043340833,0.16119290072263337,4,0,10.335779741587134,-0.003964328226402717
approach,0.7990000000000006,0.19313931680861418,0.23680021094332412,1.4960783406876892,-1.3165580331749007,0.7926870320731804,0.009501657110839643,0.0002812321150340566,0.0007959372352197921,0.01353711126610769,0.07165838182480015,-0.06785462813614299,-0.055010806744400675,0.13454435034453663,8,2,10.697946073289696,0.02
pinch,1.5489999999999402,0.19819102940249175,0.24228654756358306,7.141820763608795,-31.62525207857976,3.3162745833609746,0.008259662605184355,-0.0002264769957322727,0.0012879314919721052,0.012256208951730026,0.07370761390967445,-0.06737036123429979,-0.03941318750781418,0.13638018101561747,5,2,44.17059022357358,0.02
micro_lift,2.398999999999847,0.20262794414541516,0.25024210228283317,8.446418814470096,-36.66121642252396,5.512813168778784,-0.021001044969714836,-0.001275061753051242,0.005941237738435217,-0.016420515372861495,0.06671618187392378,-0.05925507730698803,-0.07717090967677477,0.14753374270066252,0,0,65.18464853937307,-0.007350365739400192
scoop_insert,3.3479999999997423,0.19556678887324194,0.2533154739062756,1.7508505717308478,-0.8679991154410928,6.399593023316802,-0.0056898353760165025,0.01222076747358151,-0.013637569853517021,-0.0008634514851669259,0.0678121014957224,-0.04581734492219093,-0.10372956957126715,0.14062788839570176,0,3,21.14263529518946,0.028008557618394225
support_lift,4.097999999999703,0.1930532687751452,0.24164793069092694,2.639114027388649,-3.1835753343093196,2.194525313829472,-0.01120029388120269,0.012111508614572407,-0.016247939608518166,-0.0086413879692006,0.07053715393988759,-0.05060438492035592,-0.11991240229145991,0.14594497048762364,0,2,23.13444940085637,0.016079897141579057
