phase,time_s,upper_half_width,lower_half_width,shoulder_angle_mean_deg,shoulder_angle_local_deg,belly_angle_mean_deg,bottom_sag_m,payload_slide_x_m,payload_slide_y_m,payload_slide_z_m,payload_world_z_m,bag_com_x_m,bag_com_y_m,bag_com_z_m,gripper_bag_contact_count,scoop_bag_contact_count,shape_change_score,support_margin_proxy,bag_up_z,side_fall_bias
observe,0.34900000000000025,0.07058880043495311,0.29996074459658617,1.0115076437535546,0.11736996619930382,0.11882909839587347,-0.008560916815854473,2.6956294747574476e-05,8.018529669865613e-05,0.021422067858359477,0.04361887696533331,0.017157938150347222,-0.001984206569417022,0.1400609757894614,2,0,7.11261651028689,-0.0029963208855490653,0.9988846107164546,-1.0
approach,0.7990000000000006,0.07333638643267057,0.3000227835330914,2.925649252686711,0.8067077279997159,0.14315806199501308,-0.009299244645366059,7.58656230953667e-05,0.00019739906013694776,0.02118200713620081,0.044626459637491886,0.019087051237582118,0.0004392687720511896,0.1409505060136494,10,0,8.804726282719837,-0.0032547356258781205,0.9985959694522891,-1.0
pinch,1.5489999999999402,0.0739324100974886,0.2865829306923836,6.202835768372577,-10.94260991165905,2.681181954099873,-0.010214921015098783,0.0005250259073838555,0.0006115993194389704,0.0210157619780035,0.04425704851229614,0.013588088551737565,-0.007711360354089362,0.1406923440627057,31,0,24.072037766564343,-0.0035752223552845738,0.9999194200844503,-1.0
micro_lift,2.398999999999847,0.08111202275083026,0.2840557327789255,11.97878360138891,-38.64561593744786,4.844488850149608,-0.011032179650794685,-8.39631102644361e-05,0.0033423876084672324,0.02071214503106092,0.04376239160439263,0.015430742017562026,-0.0057862744417363525,0.14003104884842094,6,0,56.98573765503053,-0.0038612628777781395,0.9997895097663294,1.0
scoop_insert,3.3479999999997423,0.06789314846246497,0.2926357398039565,4.288390094798336,-10.500107166091768,5.886601383240371,-0.014623149203566707,0.006829818226145073,0.010529830759005017,0.007213551219703046,0.032615453499387055,0.01731690523858241,-0.00619215136916886,0.1391909665603647,4,7,34.026130565551895,0.06488189777875165,0.9996690342515884,1.0
support_lift,4.097999999999703,0.07501434163955278,0.2906149905530776,5.657555205475778,0.9135317832030193,2.2127753947610502,-0.015223085495633597,0.008102890538104724,0.00797544022569168,0.01876228482332578,0.04967610666587617,0.01817414123829565,-0.0019481350840393496,0.1471531186926694,0,14,20.0918618695706,0.13467192007652826,0.9993388166687984,1.0
