scenario_name,test_name,mode_free_or_anchored,joint_name,joint_type,joint_max_delta_deg_or_mm,limit_hit
underfilled,shoulder_poke_right,free,top_seam_06_hinge,hinge_deg,0.031691,False
underfilled,top_preload,free,back_face_00_hinge,hinge_deg,0.868632,False
underfilled,top_preload,free,back_face_01_hinge,hinge_deg,0.917596,False
underfilled,top_preload,free,back_face_02_hinge,hinge_deg,0.862535,False
underfilled,top_preload,free,back_face_03_hinge,hinge_deg,0.709689,False
underfilled,top_preload,free,bottom_sling_slide,slide_mm,0.285470,False
underfilled,top_preload,free,fold_patch_left_hinge,hinge_deg,0.697146,False
underfilled,top_preload,free,fold_patch_right_hinge,hinge_deg,1.015320,False
underfilled,top_preload,free,front_face_00_hinge,hinge_deg,0.777064,False
underfilled,top_preload,free,front_face_01_hinge,hinge_deg,0.828081,False
underfilled,top_preload,free,front_face_02_hinge,hinge_deg,0.773108,False
underfilled,top_preload,free,front_face_03_hinge,hinge_deg,0.615453,False
underfilled,top_preload,free,lower_belly_00_hinge,hinge_deg,0.450528,False
underfilled,top_preload,free,lower_belly_01_hinge,hinge_deg,0.454494,False
underfilled,top_preload,free,lower_belly_02_hinge,hinge_deg,0.455367,False
underfilled,top_preload,free,lower_belly_03_hinge,hinge_deg,0.454173,False
underfilled,top_preload,free,payload_aux_x,slide_mm,0.203973,False
underfilled,top_preload,free,payload_aux_y,slide_mm,0.599622,False
underfilled,top_preload,free,payload_aux_z,slide_mm,0.334938,True
underfilled,top_preload,free,payload_main_x,slide_mm,0.098359,False
underfilled,top_preload,free,payload_main_y,slide_mm,0.620452,False
underfilled,top_preload,free,payload_main_z,slide_mm,0.148238,False
underfilled,top_preload,free,shoulder_left_00_hinge,hinge_deg,1.009350,False
underfilled,top_preload,free,shoulder_left_01_hinge,hinge_deg,0.067810,False
underfilled,top_preload,free,shoulder_left_02_hinge,hinge_deg,0.908325,False
underfilled,top_preload,free,shoulder_right_00_hinge,hinge_deg,0.984980,False
underfilled,top_preload,free,shoulder_right_01_hinge,hinge_deg,0.043496,False
underfilled,top_preload,free,shoulder_right_02_hinge,hinge_deg,0.929432,False
underfilled,top_preload,free,side_gusset_left_00_hinge,hinge_deg,1.119062,False
underfilled,top_preload,free,side_gusset_left_01_hinge,hinge_deg,1.047017,False
underfilled,top_preload,free,side_gusset_right_00_hinge,hinge_deg,1.069020,False
underfilled,top_preload,free,side_gusset_right_01_hinge,hinge_deg,0.996844,False
underfilled,top_preload,free,top_seam_00_hinge,hinge_deg,0.024777,False
underfilled,top_preload,free,top_seam_01_hinge,hinge_deg,0.098748,False
underfilled,top_preload,free,top_seam_02_hinge,hinge_deg,0.034866,False
underfilled,top_preload,free,top_seam_03_hinge,hinge_deg,0.011582,False
underfilled,top_preload,free,top_seam_04_hinge,hinge_deg,0.041116,False
underfilled,top_preload,free,top_seam_05_hinge,hinge_deg,0.022143,False
underfilled,top_preload,free,top_seam_06_hinge,hinge_deg,0.031691,False
underfilled,side_push,free,back_face_00_hinge,hinge_deg,1.006217,False
underfilled,side_push,free,back_face_01_hinge,hinge_deg,1.067183,False
underfilled,side_push,free,back_face_02_hinge,hinge_deg,1.003254,False
underfilled,side_push,free,back_face_03_hinge,hinge_deg,0.822454,False
underfilled,side_push,free,bottom_sling_slide,slide_mm,0.157623,False
underfilled,side_push,free,fold_patch_left_hinge,hinge_deg,0.826813,False
underfilled,side_push,free,fold_patch_right_hinge,hinge_deg,1.206717,False
underfilled,side_push,free,front_face_00_hinge,hinge_deg,0.893338,False
underfilled,side_push,free,front_face_01_hinge,hinge_deg,0.957532,False
underfilled,side_push,free,front_face_02_hinge,hinge_deg,0.893972,False
underfilled,side_push,free,front_face_03_hinge,hinge_deg,0.707129,False
underfilled,side_push,free,lower_belly_00_hinge,hinge_deg,0.458598,False
underfilled,side_push,free,lower_belly_01_hinge,hinge_deg,0.465887,False
underfilled,side_push,free,lower_belly_02_hinge,hinge_deg,0.454061,False
underfilled,side_push,free,lower_belly_03_hinge,hinge_deg,0.455260,False
underfilled,side_push,free,payload_aux_x,slide_mm,0.226439,False
underfilled,side_push,free,payload_aux_y,slide_mm,0.631885,False
underfilled,side_push,free,payload_aux_z,slide_mm,0.407476,True
underfilled,side_push,free,payload_main_x,slide_mm,0.116340,False
underfilled,side_push,free,payload_main_y,slide_mm,0.628602,False
underfilled,side_push,free,payload_main_z,slide_mm,0.232727,False
underfilled,side_push,free,shoulder_left_00_hinge,hinge_deg,1.144230,False
underfilled,side_push,free,shoulder_left_01_hinge,hinge_deg,0.027606,False
underfilled,side_push,free,shoulder_left_02_hinge,hinge_deg,1.088289,False
underfilled,side_push,free,shoulder_right_00_hinge,hinge_deg,1.117658,False
underfilled,side_push,free,shoulder_right_01_hinge,hinge_deg,0.002352,False
underfilled,side_push,free,shoulder_right_02_hinge,hinge_deg,1.110741,False
underfilled,side_push,free,side_gusset_left_00_hinge,hinge_deg,1.316684,False
underfilled,side_push,free,side_gusset_left_01_hinge,hinge_deg,1.233375,False
underfilled,side_push,free,side_gusset_right_00_hinge,hinge_deg,1.249426,False
underfilled,side_push,free,side_gusset_right_01_hinge,hinge_deg,1.165405,False
underfilled,side_push,free,top_seam_00_hinge,hinge_deg,0.029980,False
underfilled,side_push,free,top_seam_01_hinge,hinge_deg,0.119596,False
underfilled,side_push,free,top_seam_02_hinge,hinge_deg,0.042087,False
underfilled,side_push,free,top_seam_03_hinge,hinge_deg,0.013461,False
underfilled,side_push,free,top_seam_04_hinge,hinge_deg,0.049774,False
underfilled,side_push,free,top_seam_05_hinge,hinge_deg,0.026723,False
underfilled,side_push,free,top_seam_06_hinge,hinge_deg,0.038280,False
underfilled,scoop_insert,free,back_face_00_hinge,hinge_deg,0.942737,False
underfilled,scoop_insert,free,back_face_01_hinge,hinge_deg,1.036399,False
underfilled,scoop_insert,free,back_face_02_hinge,hinge_deg,0.992264,False
underfilled,scoop_insert,free,back_face_03_hinge,hinge_deg,0.818462,False
underfilled,scoop_insert,free,bottom_sling_slide,slide_mm,4.215858,False
underfilled,scoop_insert,free,fold_patch_left_hinge,hinge_deg,0.889306,False
underfilled,scoop_insert,free,fold_patch_right_hinge,hinge_deg,1.312242,False
underfilled,scoop_insert,free,front_face_00_hinge,hinge_deg,0.948733,False
underfilled,scoop_insert,free,front_face_01_hinge,hinge_deg,1.019315,False
underfilled,scoop_insert,free,front_face_02_hinge,hinge_deg,0.951149,False
underfilled,scoop_insert,free,front_face_03_hinge,hinge_deg,0.748701,False
underfilled,scoop_insert,free,lower_belly_00_hinge,hinge_deg,2.716580,False
underfilled,scoop_insert,free,lower_belly_01_hinge,hinge_deg,3.543244,False
underfilled,scoop_insert,free,lower_belly_02_hinge,hinge_deg,4.360659,False
underfilled,scoop_insert,free,lower_belly_03_hinge,hinge_deg,3.428122,False
underfilled,scoop_insert,free,payload_aux_x,slide_mm,0.508435,False
underfilled,scoop_insert,free,payload_aux_y,slide_mm,1.725123,False
underfilled,scoop_insert,free,payload_aux_z,slide_mm,1.775780,True
underfilled,scoop_insert,free,payload_main_x,slide_mm,0.115063,False
underfilled,scoop_insert,free,payload_main_y,slide_mm,2.185716,False
underfilled,scoop_insert,free,payload_main_z,slide_mm,3.511866,False
underfilled,scoop_insert,free,shoulder_left_00_hinge,hinge_deg,1.253977,False
underfilled,scoop_insert,free,shoulder_left_01_hinge,hinge_deg,0.028861,False
underfilled,scoop_insert,free,shoulder_left_02_hinge,hinge_deg,1.193480,False
underfilled,scoop_insert,free,shoulder_right_00_hinge,hinge_deg,1.186813,False
underfilled,scoop_insert,free,shoulder_right_01_hinge,hinge_deg,0.006142,False
underfilled,scoop_insert,free,shoulder_right_02_hinge,hinge_deg,1.177622,False
underfilled,scoop_insert,free,side_gusset_left_00_hinge,hinge_deg,1.326987,False
underfilled,scoop_insert,free,side_gusset_left_01_hinge,hinge_deg,1.258052,False
underfilled,scoop_insert,free,side_gusset_right_00_hinge,hinge_deg,1.335189,False
underfilled,scoop_insert,free,side_gusset_right_01_hinge,hinge_deg,1.252253,False
underfilled,scoop_insert,free,top_seam_00_hinge,hinge_deg,0.032923,False
underfilled,scoop_insert,free,top_seam_01_hinge,hinge_deg,0.130699,False
underfilled,scoop_insert,free,top_seam_02_hinge,hinge_deg,0.046064,False
underfilled,scoop_insert,free,top_seam_03_hinge,hinge_deg,0.014135,False
underfilled,scoop_insert,free,top_seam_04_hinge,hinge_deg,0.054533,False
underfilled,scoop_insert,free,top_seam_05_hinge,hinge_deg,0.029341,False
underfilled,scoop_insert,free,top_seam_06_hinge,hinge_deg,0.041942,False
underfilled,support_release,free,back_face_00_hinge,hinge_deg,1.230416,False
underfilled,support_release,free,back_face_01_hinge,hinge_deg,1.321251,False
underfilled,support_release,free,back_face_02_hinge,hinge_deg,1.241955,False
underfilled,support_release,free,back_face_03_hinge,hinge_deg,1.001652,False
underfilled,support_release,free,bottom_sling_slide,slide_mm,0.147559,False
underfilled,support_release,free,fold_patch_left_hinge,hinge_deg,1.078599,False
underfilled,support_release,free,fold_patch_right_hinge,hinge_deg,1.589486,False
underfilled,support_release,free,front_face_00_hinge,hinge_deg,1.110089,False
underfilled,support_release,free,front_face_01_hinge,hinge_deg,1.203744,False
underfilled,support_release,free,front_face_02_hinge,hinge_deg,1.124058,False
underfilled,support_release,free,front_face_03_hinge,hinge_deg,0.876330,False
underfilled,support_release,free,lower_belly_00_hinge,hinge_deg,0.590194,False
underfilled,support_release,free,lower_belly_01_hinge,hinge_deg,0.595777,False
underfilled,support_release,free,lower_belly_02_hinge,hinge_deg,0.596435,False
underfilled,support_release,free,lower_belly_03_hinge,hinge_deg,0.593842,False
underfilled,support_release,free,payload_aux_x,slide_mm,0.310623,False
underfilled,support_release,free,payload_aux_y,slide_mm,0.738167,False
underfilled,support_release,free,payload_aux_z,slide_mm,0.487000,True
underfilled,support_release,free,payload_main_x,slide_mm,0.139535,False
underfilled,support_release,free,payload_main_y,slide_mm,0.839658,False
underfilled,support_release,free,payload_main_z,slide_mm,0.261066,False
