scenario_name,test_name,mode_free_or_anchored,joint_name,joint_type,joint_max_delta_deg_or_mm,limit_hit
underfilled,shoulder_poke_left,free,outer_lower_right_01_hinge,hinge_deg,0.261063,False
underfilled,shoulder_poke_left,free,outer_lower_right_02_hinge,hinge_deg,0.252568,False
underfilled,shoulder_poke_left,free,outer_lower_right_03_hinge,hinge_deg,0.242520,False
underfilled,shoulder_poke_left,free,outer_lower_right_04_hinge,hinge_deg,0.232780,False
underfilled,shoulder_poke_left,free,outer_lower_right_05_hinge,hinge_deg,0.220787,False
underfilled,shoulder_poke_left,free,outer_lower_right_06_hinge,hinge_deg,0.150358,False
underfilled,shoulder_poke_left,free,outer_lower_right_07_hinge,hinge_deg,0.140989,False
underfilled,shoulder_poke_left,free,outer_lower_right_08_hinge,hinge_deg,0.133214,False
underfilled,shoulder_poke_left,free,outer_lower_right_09_hinge,hinge_deg,0.127560,False
underfilled,shoulder_poke_left,free,outer_lower_right_10_hinge,hinge_deg,0.176120,False
underfilled,shoulder_poke_left,free,outer_mid_back_00_hinge,hinge_deg,3.053085,False
underfilled,shoulder_poke_left,free,outer_mid_back_01_hinge,hinge_deg,3.049763,False
underfilled,shoulder_poke_left,free,outer_mid_back_02_hinge,hinge_deg,3.046224,False
underfilled,shoulder_poke_left,free,outer_mid_back_03_hinge,hinge_deg,3.046988,False
underfilled,shoulder_poke_left,free,outer_mid_back_04_hinge,hinge_deg,3.045673,False
underfilled,shoulder_poke_left,free,outer_mid_back_05_hinge,hinge_deg,3.042473,False
underfilled,shoulder_poke_left,free,outer_mid_back_06_hinge,hinge_deg,3.028893,False
underfilled,shoulder_poke_left,free,outer_mid_back_07_hinge,hinge_deg,3.025269,False
underfilled,shoulder_poke_left,free,outer_mid_back_08_hinge,hinge_deg,3.019799,False
underfilled,shoulder_poke_left,free,outer_mid_back_09_hinge,hinge_deg,3.019031,False
underfilled,shoulder_poke_left,free,outer_mid_back_10_hinge,hinge_deg,3.024045,False
underfilled,shoulder_poke_left,free,outer_mid_front_00_hinge,hinge_deg,1.789107,False
underfilled,shoulder_poke_left,free,outer_mid_front_01_hinge,hinge_deg,2.841001,False
underfilled,shoulder_poke_left,free,outer_mid_front_02_hinge,hinge_deg,4.602909,False
underfilled,shoulder_poke_left,free,outer_mid_front_03_hinge,hinge_deg,6.297393,False
underfilled,shoulder_poke_left,free,outer_mid_front_04_hinge,hinge_deg,8.031732,False
underfilled,shoulder_poke_left,free,outer_mid_front_05_hinge,hinge_deg,11.672508,False
underfilled,shoulder_poke_left,free,outer_mid_front_06_hinge,hinge_deg,8.032482,False
underfilled,shoulder_poke_left,free,outer_mid_front_07_hinge,hinge_deg,6.283179,False
underfilled,shoulder_poke_left,free,outer_mid_front_08_hinge,hinge_deg,4.600891,False
underfilled,shoulder_poke_left,free,outer_mid_front_09_hinge,hinge_deg,2.955037,False
underfilled,shoulder_poke_left,free,outer_mid_front_10_hinge,hinge_deg,1.857657,False
underfilled,shoulder_poke_left,free,outer_upper_left_00_hinge,hinge_deg,15.029645,False
underfilled,shoulder_poke_left,free,outer_upper_left_01_hinge,hinge_deg,15.762857,False
underfilled,shoulder_poke_left,free,outer_upper_left_02_hinge,hinge_deg,17.049298,False
underfilled,shoulder_poke_left,free,outer_upper_left_03_hinge,hinge_deg,18.210296,False
underfilled,shoulder_poke_left,free,outer_upper_left_04_hinge,hinge_deg,19.454159,False
underfilled,shoulder_poke_left,free,outer_upper_left_05_hinge,hinge_deg,22.178323,False
underfilled,shoulder_poke_left,free,outer_upper_left_06_hinge,hinge_deg,19.451914,False
underfilled,shoulder_poke_left,free,outer_upper_left_07_hinge,hinge_deg,18.238209,False
